Practice,Outcome,Product,Observations,Studies,Value,Sig,Value.se,CIlow,CIhigh
Reduced Tillage,Crop Yield,Sorghum,422,19,245.15923,0.0917,138.83418,-26.95075,517.26921
pH Control,Crop Yield,Maize,366,19,1033.10168,0,163.2922,713.05484,1353.14852
Improved Fallow,Crop Yield,Maize,416,18,1239.55379,0,174.85859,896.83725,1582.27032
Mulch (Herbs),Crop Yield,Sorghum,285,16,267.66501,0.0005,60.47196,149.14215,386.18787
Deficit Irrigation,Crop Yield,Maize,261,15,-1060.34785,0.00066,237.01768,-1524.89397,-595.80173
Organic Fertilizer,Crop Yield,Common Bean,205,15,434.49043,0.02073,170.72695,99.87176,769.1091
Agroforestry Fallow,Crop Yield,Maize,315,15,1200.70155,0.00094,225.07367,759.56527,1641.83783
Mulch (Herbs),Crop Yield,Cowpea,226,13,242.37575,0.02747,93.0012,60.09675,424.65475
Reduced Tillage,Crop Yield,Soybean,100,13,-19.5101,0.74032,56.88771,-131.00795,91.98775
Reduced Tillage,Crop Yield,Wheat,186,12,134.38511,0.37144,142.95868,-145.80876,414.57898
Mulch (Trees),Crop Yield,Pearl Millet,90,12,373.63368,0.00328,71.91276,232.68726,514.58011
Mulch (Trees),Crop Yield,Cowpea,161,12,75.65708,0.64074,149.97812,-218.29464,369.6088
Mulch (Herbs),Crop Yield,Pearl Millet,368,11,219.71054,0.00211,54.64153,112.61511,326.80597
Improved Varieties,Crop Yield,Cowpea,518,11,-25.39358,0.85278,133.34469,-286.74437,235.95721
Improved Varieties,Crop Yield,Cassava,521,11,3836.25543,0.0091,1217.18864,1450.60953,6221.90133
Alleycropping,Crop Yield,Cassava,179,11,-416.68216,0.45974,537.74106,-1470.63527,637.27096
Alleycropping,Crop Yield,Common Bean,197,11,-18.6238,0.77529,62.68486,-141.48387,104.23628
Intercropping,Crop Yield,Soybean,131,11,-760.66216,0.00029,159.90126,-1074.06287,-447.26144
Supplemental Irrigation,Crop Yield,Maize,183,10,978.12635,0.21105,726.02321,-444.853,2401.1057
Mulch (Herbs),Crop Yield,Rice,133,10,306.41248,0.32264,292.21754,-266.32338,879.14834
Organic Fertilizer,Crop Yield,Soybean,198,10,580.5375,0.00002,93.85858,396.57807,764.49693
Organic Fertilizer,Crop Yield,Cowpea,113,10,383.91958,0.00114,84.63397,218.04006,549.79911
Water Harvesting,Crop Yield,Cowpea,76,10,-4.09065,0.92828,44.26447,-90.84741,82.66612
Mulch (Trees),Crop Yield,Common Bean,194,10,183.0447,0.10205,97.34398,-7.74601,373.8354
Mulch (Trees),Crop Yield,Cassava,196,10,-75.56537,0.80352,234.70019,-535.56928,384.43855
Inorganic Fertilizer,Crop Yield,Yam,80,9,3694.79196,0.01231,1236.17534,1271.93281,6117.65111
Mulch (Herbs),Crop Yield,Wheat,91,9,331.55358,0.11544,185.81953,-32.64601,695.75317
Reduced Tillage,Crop Yield,Rice,62,9,-155.63205,0.547,245.91897,-637.62438,326.36029
Organic Fertilizer,Crop Yield,Groundnut,90,9,298.59838,0.00433,83.20739,135.51489,461.68186
Improved Varieties,Crop Yield,Rice,339,9,782.51818,0.00446,220.14866,351.03474,1214.00161
Mulch (Trees),Crop Yield,Sorghum,163,9,218.93204,0.00611,55.73393,109.69554,328.16854
Alleycropping,Crop Yield,Cowpea,88,9,-148.93157,0.22623,86.64766,-318.75785,20.89472
Alleycropping,Crop Yield,Groundnut,63,9,-18.94198,0.67326,42.95281,-103.12794,65.24398
Intercropping,Crop Yield,Sorghum,120,9,42.88098,0.46168,54.62056,-64.17335,149.93531
Deficit Irrigation,Crop Yield,Wheat,129,8,-1468.93389,0.01467,457.18246,-2364.99505,-572.87273
Reduced Tillage,Crop Yield,Pearl Millet,53,8,401.2488,0.23911,283.26907,-153.94837,956.44597
Crop Rotation,Crop Yield,Sorghum,105,8,489.15863,0.01454,157.44785,180.56651,797.75074
Crop Residue Incorporation,Crop Yield,Wheat,55,7,380.9413,0.05858,162.93546,61.59366,700.28894
Crop Residue Incorporation,Crop Yield,Cassava,124,7,1690.77076,0.17908,1114.95308,-494.49713,3876.03865
Crop Residue Incorporation,Crop Yield,Common Bean,20,7,54.87663,0.11061,29.43133,-2.80772,112.56097
Mulch (Herbs),Crop Yield,Cassava,93,7,2991.40569,0.17301,1916.38503,-764.63994,6747.45132
Reduced Tillage,Crop Yield,Cotton,60,7,-143.96167,0.15835,86.21598,-312.94189,25.01855
Organic Fertilizer,Crop Yield,Cassava,166,7,7253.99968,0.00044,1271.89709,4761.12719,9746.87216
Parklands,Crop Yield,Pearl Millet,73,7,70.23799,0.51135,101.75754,-129.20313,269.6791
Green Manure,Crop Yield,Sorghum,96,7,786.92687,0.00732,219.90648,355.91808,1217.93565
Green Manure,Crop Yield,Common Bean,31,7,19.93921,0.63811,40.33151,-59.10909,98.98752
Crop Rotation,Crop Yield,Pearl Millet,195,7,250.73294,0.0077,63.19939,126.8644,374.60147
Intercropping,Crop Yield,Pearl Millet,169,7,-113.0164,0.21231,81.0635,-271.89793,45.86513
Inorganic Fertilizer,Crop Yield,Cotton,124,6,332.70865,0.04174,130.16497,77.58998,587.82731
Inorganic Fertilizer,Crop Yield,Teff,111,6,888.1865,0.00229,175.3504,544.50603,1231.86697
Inorganic Fertilizer,Crop Yield,Tomato,39,6,18592.23915,0.0337,6400.05888,6048.35425,31136.12405
Deficit Irrigation,Crop Yield,Potato,73,6,-4935.39525,0.02059,1479.04838,-7834.27682,-2036.51369
Crop Residue Incorporation,Crop Yield,Sorghum,108,6,258.22483,0.02277,51.84734,156.6059,359.84376
Crop Residue Incorporation,Crop Yield,Rice,105,6,1642.1803,0.0108,418.50908,821.91756,2462.44303
Mulch (Herbs),Crop Yield,Sugar Cane,78,6,2227.34958,0.58172,3891.65101,-5400.14623,9854.84539
Mulch (Herbs),Crop Yield,Common Bean,22,6,81.20835,0.16606,49.13895,-15.10223,177.51893
Mulch (Herbs),Crop Yield,Groundnut,77,6,145.21669,0.06589,61.2643,25.14087,265.29251
Reduced Tillage,Crop Yield,Cassava,29,6,-1193.13725,0.05318,591.01222,-2351.49992,-34.77458
Organic Fertilizer,Crop Yield,Rice,60,6,1284.16882,0.06989,586.58251,134.48822,2433.84942
Improved Varieties,Crop Yield,Sorghum,113,6,315.65503,0.04815,128.85589,63.10213,568.20792
Water Harvesting,Crop Yield,Pearl Millet,129,6,293.08862,0.01534,68.73111,158.37813,427.79911
Mulch (Trees),Crop Yield,Groundnut,62,6,-17.30404,0.80423,64.09406,-142.92608,108.318
Boundary Planting,Crop Yield,Maize,185,6,169.7861,0.48703,231.64711,-284.23389,623.8061
Parklands,Crop Yield,Sorghum,36,6,-227.24924,0.29712,203.27071,-625.65251,171.15403
Crop Rotation,Crop Yield,Cowpea,85,6,-41.45073,0.73035,116.51597,-269.81784,186.91637
Intercropping,Crop Yield,Common Bean,61,6,-607.60929,0.03758,215.60052,-1030.17854,-185.04005
Inorganic Fertilizer,Crop Yield,Pigeon Pea,159,5,2.43127,0.88662,15.4152,-27.78196,32.6445
Inorganic Fertilizer,Crop Yield,Chickpea,40,5,408.65773,0,57.89905,295.17768,522.13778
Inorganic Fertilizer,Crop Yield,Okra,49,5,900.47026,0.00477,189.92095,528.23203,1272.70848
Inorganic Fertilizer,Crop Yield,Potato,154,5,2230.74376,0.00008,407.79067,1431.48873,3029.99879
Inorganic Fertilizer,Crop Yield,Sweet Potato,126,5,10642.50917,0.00915,2974.64895,4812.30436,16472.71397
Inorganic Fertilizer,Crop Yield,Fodder Legume,36,5,1656.08399,0.14866,973.833,-252.59361,3564.76159
Inorganic Fertilizer,Crop Yield,Barley,217,5,1356.02827,0.01637,341.33035,687.03309,2025.02346
Deficit Irrigation,Crop Yield,Olive,48,5,-2180.40159,0.27026,1715.57183,-5542.86059,1182.0574
Deficit Irrigation,Crop Yield,Rice,17,5,-739.76375,0.13203,340.89624,-1407.9081,-71.6194
Supplemental Irrigation,Crop Yield,Sorghum,48,5,1327.20359,0.09954,561.23569,227.20186,2427.20533
Mulch (Herbs),Crop Yield,Tomato,30,5,6320.39518,0.05456,1933.64945,2530.5119,10110.27847
Reduced Tillage,Crop Yield,Teff,20,5,-8.52168,0.94269,112.35981,-228.74285,211.69949
Organic Fertilizer,Crop Yield,Tomato,37,5,18369.96511,0.10837,8882.57098,960.4459,35779.48431
Improved Varieties,Crop Yield,Wheat,195,5,374.96404,0.30032,325.40078,-262.80977,1012.73785
Alleycropping,Crop Yield,Sorghum,74,5,262.74552,0.18671,164.86304,-60.38011,585.87115
Alleycropping,Crop Yield,Pearl Millet,39,5,384.67787,0,72.04721,238.82593,530.52982
Green Manure,Crop Yield,Rice,129,5,556.79272,0.00742,151.58254,259.6964,853.88904
Agroforestry Fallow,Crop Yield,Cassava,61,5,1684.01961,0.00032,440.8268,802.23471,2565.8045
Crop Rotation,Crop Yield,Wheat,67,5,574.44884,0.01741,125.41393,328.64204,820.25563
Crop Rotation,Crop Yield,Soybean,90,5,-57.87561,0.80794,229.16807,-507.03677,391.28556
Intercropping,Crop Yield,Pigeon Pea,108,5,-273.06754,0.04442,94.49204,-458.26853,-87.86655
Intercropping,Crop Yield,Okra,49,5,-873.0534,0.3914,873.04784,-2584.19573,838.08893
Inorganic Fertilizer,Crop Yield,Sugar Cane,109,4,6152.58283,0.00311,1293.19476,3617.96769,8687.19798
Inorganic Fertilizer,Crop Yield,Cabbage,8,4,23764.87751,0.00257,5197.81957,11473.9873,36055.76772
Inorganic Fertilizer,Crop Yield,Banana Sweet,32,4,4287.17113,0.00275,1069.67841,2190.63998,6383.70229
Inorganic Fertilizer,Crop Yield,Rape,45,4,8082.62324,0.11026,3586.02041,1054.15238,15111.0941
Inorganic Fertilizer,Crop Yield,Sunflower,173,4,1003.73115,0.04922,313.48896,389.30408,1618.15822
Supplemental Irrigation,Crop Yield,Cowpea,34,4,461.29224,0.15626,237.49829,-4.19586,926.78034
Supplemental Irrigation,Crop Yield,Rice,16,4,1073.84731,0.17239,571.13379,-45.55435,2193.24897
Mulch (Herbs),Crop Yield,Cooking Banana,47,4,2389.92716,0.1521,1317.28917,-191.91218,4971.76649
Mulch (Herbs),Crop Yield,Soybean,32,4,332.44638,0.14861,171.5092,-3.70548,668.59823
Reduced Tillage,Crop Yield,Common Bean,32,4,79.48098,0.42856,85.74505,-88.57623,247.53818
Organic Fertilizer,Crop Yield,Cabbage,10,4,20142.32228,0.08273,7874.59074,4708.40803,35576.23652
Organic Fertilizer,Crop Yield,Potato,103,4,2829.65737,0.00006,555.29926,1741.29082,3918.02393
Organic Fertilizer,Crop Yield,Sweet Potato,105,4,10322.80561,0.03639,3645.11946,3178.50274,17467.10847
Organic Fertilizer,Crop Yield,Wheat,31,4,412.80612,0.04502,124.5033,168.78414,656.8281
Improved Varieties,Crop Yield,Sweet Potato,397,4,-2610.66977,0.20844,1907.71969,-6349.73166,1128.39212
Improved Varieties,Crop Yield,Common Bean,138,4,197.90164,0.08142,90.86151,19.81636,375.98692
Improved Varieties,Crop Yield,Soybean,51,4,139.05235,0.16162,80.72607,-19.16784,297.27255
Water Harvesting,Crop Yield,Soybean,39,4,20.01837,0.90567,149.48257,-272.96209,312.99882
Water Harvesting,Crop Yield,Rice,20,4,696.90842,0.00184,115.06025,471.39448,922.42236
Water Harvesting,Crop Yield,Wheat,51,4,1095.32416,0.07917,418.63972,274.80539,1915.84293
pH Control,Crop Yield,Groundnut,47,4,299.07837,0,43.44201,213.93361,384.22314
pH Control,Crop Yield,Rice,113,4,505.63939,0.06917,180.9305,151.02213,860.25665
Alleycropping,Crop Yield,Sesame,8,4,16.10625,0.54996,25.64879,-34.16446,66.37696
Biochar,Crop Yield,Maize,49,4,1255.86134,0.19306,802.33398,-316.68436,2828.40703
Green Manure,Crop Yield,Wheat,41,4,369.98893,0.21023,261.58804,-142.7142,882.69207
Green Manure,Crop Yield,Yam,58,4,4254.51389,0,420.96552,3411.54497,5097.48281
Green Manure,Crop Yield,Cassava,53,4,-358.93874,0.8045,1272.85321,-2853.68518,2135.80771
Crop Rotation,Crop Yield,Cotton,16,4,-265.15238,0.01389,95.22247,-468.11426,-62.1905
Intercropping,Crop Yield,Cotton,16,4,-320.11511,0.27561,238.2237,-787.02497,146.79476
Intercropping,Crop Yield,Wheat,18,4,-38.56042,0.68605,93.77165,-236.40131,159.28047
