Practice,Crop,N_Obs,N_Pub,Mean_T,Mean_C,Mean_Difference,Se,Lower,Upper
Agroforestry Fallow,Cassava,61,5,11576.88235,9892.86275,1684.01961,440.8268,802.23471,2565.8045
Crop Rotation,Wheat,67,5,2462.99038,1867.64423,574.44884,125.41393,328.64204,820.25563
Crop Rotation,Soybean,90,5,1183.77334,1133.92519,-57.87561,229.16807,-507.03677,391.28556
Intercropping,Pigeon Pea,108,5,473.74662,758.56863,-273.06754,94.49204,-458.26853,-87.86655
Intercropping,Okra,49,5,3615,4345.83333,-873.0534,873.04784,-2584.19573,838.08893
Inorganic Fertilizer,Sugar Cane,109,4,36893.68028,30040.96235,6152.58283,1293.19476,3617.96769,8687.19798
Inorganic Fertilizer,Cabbage,8,4,39754.14575,15989.26824,23764.87751,5197.81957,11473.9873,36055.76772
Inorganic Fertilizer,Banana Sweet,32,4,19578.06743,14231.02796,4287.17113,1069.67841,2190.63998,6383.70229
Inorganic Fertilizer,Rape,45,4,12703.92129,4953.05358,8082.62324,3586.02041,1054.15238,15111.0941
Inorganic Fertilizer,Sunflower,173,4,1834.5033,788.3418,1003.73115,313.48896,389.30408,1618.15822
Supplemental Irrigation,Cowpea,34,4,955.02381,609.96289,461.29224,237.49829,-4.19586,926.78034
Supplemental Irrigation,Rice,16,4,3090.94046,1649.88965,1073.84731,571.13379,-45.55435,2193.24897
Mulch (Herbs),Cooking Banana,47,4,15027.36111,12157.22222,2389.92716,1317.28917,-191.91218,4971.76649
Mulch (Herbs),Soybean,32,4,1018.45,735.21667,332.44638,171.5092,-3.70548,668.59823
Reduced Tillage,Common Bean,32,4,811.51657,702.41643,79.48098,85.74505,-88.57623,247.53818
Organic Fertilizer,Cabbage,10,4,39169.48564,15989.26824,20142.32228,7874.59074,4708.40803,35576.23652
Organic Fertilizer,Potato,103,4,14238.30672,10359.87801,2829.65737,555.29926,1741.29082,3918.02393
Organic Fertilizer,Sweet Potato,105,4,16919.51099,10772.7033,10322.80561,3645.11946,3178.50274,17467.10847
Organic Fertilizer,Wheat,31,4,2576.59615,2140.53846,412.80612,124.5033,168.78414,656.8281
Improved Varieties,Sweet Potato,397,4,8611.59926,9214.40062,-2610.66977,1907.71969,-6349.73166,1128.39212
Improved Varieties,Common Bean,138,4,1009.9898,816.39265,197.90164,90.86151,19.81636,375.98692
Improved Varieties,Soybean,51,4,1014.61894,877.0513,139.05235,80.72607,-19.16784,297.27255
Water Harvesting,Soybean,39,4,1320.50034,1205.60053,20.01837,149.48257,-272.96209,312.99882
Water Harvesting,Rice,20,4,1946.87791,1354.47043,696.90842,115.06025,471.39448,922.42236
Water Harvesting,Wheat,51,4,5057.31465,3794.60202,1095.32416,418.63972,274.80539,1915.84293
pH Control,Groundnut,47,4,1479.93254,1180.85417,299.07837,43.44201,213.93361,384.22314
pH Control,Rice,113,4,2410.93318,1934.89119,505.63939,180.9305,151.02213,860.25665
Alleycropping,Sesame,8,4,259.6875,243.58125,16.10625,25.64879,-34.16446,66.37696
Biochar,Maize,49,4,4107.59796,2762.96296,1255.86134,802.33398,-316.68436,2828.40703
Green Manure,Wheat,41,4,3213.25,2815.53704,369.98893,261.58804,-142.7142,882.69207
Green Manure,Yam,58,4,13584.93056,9330.41667,4254.51389,420.96552,3411.54497,5097.48281
Green Manure,Cassava,53,4,8191.44481,8327.38095,-358.93874,1272.85321,-2853.68518,2135.80771
Crop Rotation,Cotton,16,4,1760.64762,2025.8,-265.15238,95.22247,-468.11426,-62.1905
Intercropping,Cotton,16,4,1150.26575,1321.7761,-320.11511,238.2237,-787.02497,146.79476
Intercropping,Wheat,18,4,2973.48556,3012.04597,-38.56042,93.77165,-236.40131,159.28047
